Timestamp,Informed Consent,What is your age group?,What is your gender?,Which of these best describes your family structure during most of your upbringing (until age 18)?,What is your birth order among your siblings?,What was the marital status of your parents during most of your upbringing?,How would you rate the quality of communication between you and your mother?,Perceived Parenting Style (Mother) [She respected my opinions and encouraged me to share them.],Perceived Parenting Style (Mother) [She had strict rules and expected me to obey without question.],Perceived Parenting Style (Mother) [She set clear rules for my behaviour but was also warm and loving.],Perceived Parenting Style (Mother) [She often seemed unaware of what was happening in my life.],Perceived Parenting Style (Mother) [She acted more like a friend than a parent.],Perceived Parenting Style (Mother) [The punishment for breaking a rule was often harsh.],Perceived Parenting Style (Mother) [She was rarely involved in my school or social life.],Perceived Parenting Style (Mother) [She allowed me to make my own decisions with little guidance.],"How much academic or career pressure (e.g., to pursue medicine, engineering) did you feel from your mother?",How would you rate the quality of communication between you and your father?,"How much academic or career pressure (e.g., to pursue medicine, engineering) did you feel from your father?",Perceived Parenting Style (Father) [He respected my opinions and encouraged me to share them.],Perceived Parenting Style (Father) [He had strict rules and expected me to obey without question.],Perceived Parenting Style (Father) [He set clear rules for my behaviour but was also warm and loving.],Perceived Parenting Style (Father) [He often seemed unaware of what was happening in my life.],Perceived Parenting Style (Father) [He acted more like a friend than a parent.],Perceived Parenting Style (Father) [The punishment for breaking a rule was often harsh.],Perceived Parenting Style (Father) [He was rarely involved in my school or social life.],Perceived Parenting Style (Father) [He allowed me to make my own decisions with little guidance.],"Overall, how would you describe the level of emotional support you received from your parents during your upbringing?","During your teenage years, what was your general level of stress related to family and academic expectations?","Thinking back, how satisfied were you with your relationship with your parents during your teenage years?","[Open-Ended Reflection] In a few sentences, could you describe one aspect of your relationship with your parents that you valued the most?","[Open-Ended Reflection] In a few sentences, could you describe a common challenge or point of conflict you faced with your parents?",Therapeutic Formulation (Formatted),Therapeutic Focus Labels,Therapeutic Domains
2025-09-18 02:09:21,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,High Pressure: My career path felt strictly defined by her expectations.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Low,Very High,2,They did alot for us but expected us to acknowledge that and stay emotionally numb regarding our disappointments.,"They wanted us to accept, follow their given patterns without any questions.",[Schema] Failure Schema,Failure Schema,Schema
2025-09-18 02:16:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Low Pressure: He supported me in choosing my own academic and career path.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Low,Moderate,4,Their love,Their understanding,[Attachment Profile] Anxious Attachment,Anxious Attachment,Attachment Profile
2025-09-18 02:37:00,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am a middle child.,Intact Marriage (Parents were married and living together),Low: Mostly difficult and infrequent. I avoided discussing personal matters.,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Disagree,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Low Pressure: He supported me in choosing my own academic and career path.,Agree,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Low,High,1,With my mother it was when we would be coming back from school and would go and eat some sort of fast food on the way.  With my dad it was coming back from uni after a long day and smoking cigarettes together and talking about our day.,"My mother and I would never agree on anything ever, which resulted in us fighting almost everyday and we still do.  We're very clashing personalities and even tho I try to fix our relationship now it doesn't work.  My dad has never been emotionally or physically available in my childhood and now we talk more but there was never any initial bonding in our relationship so it still feels incomplete.",[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-18 03:41:39,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Low,Very High,1,Their care felt geniune,"World views, Preferences and beliefs in general ",[Schema] Unrelenting Standards Schema,Unrelenting Standards Schema,Schema
2025-09-18 03:44:44,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Moderate Pressure: She had strong preferences but was open to discussion.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Low Pressure: He supported me in choosing my own academic and career path.,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,High,High,4,That they would help me solve my problems when I needed them. But they also respected my privacy.,"I wouldn't apply to stuff like universities as I wasn't confident and they would encourage me to do it as they wanted me to do it. They wanted me to socialise more than I did, as I was shy and introverted and found it difficult. ",[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-18 03:54:21,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Other,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Moderate Pressure: She had strong preferences but was open to discussion.,Not Applicable / No father figure present.,Not Applicable / No father figure present.,Neutral,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,High,Very High,4,"
My mother always instilled a strong sense of right and wrong within me. This is why now I can differentiate between good and bad practices myself and know what will harm my character and morality and what won't","You are going to be getting a lot of tea, I'm afraid. So, my parents are now divorced but growing up still would be serious fights going on in our household and my siblings and I would basically be doing damage control, moderating and solving the fight altogether. Think of a cricket match between my parents and 13 year old me being the referee everytime- that best describes the dynamic. This was my point of conflict that I usually faced with my parents. Oh yeah also my father is narcissistic and has bipolar disorder (both diagnosed by a clinical psychologist so I'm not over-extraggerating or pathologizing) so growing up with him in general was a challenge but our interactions were also limited since he was in army and was living in the areas he was posted at. To help you make sense of the timeline,  I was 12 when he retired from army, 15 when he divorced my mom and I'm currently 20. ",[Family System] Triangulation,Triangulation,Family System
2025-09-18 07:17:36,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Low Pressure: She supported me in choosing my own academic and career path.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Moderate Pressure: He had strong preferences but was open to discussion.,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,High,Moderate,4,"Loving, kind and affectionate ",During choosing college/uni,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Parenting Style] Overprotective / Enmeshing Parenting,"Detached / Emotionally Unavailable Parenting, Overprotective / Enmeshing Parenting",Parenting Style
2025-09-18 10:56:04,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,"Joint/Extended Family: (Lived with parents, grandparents, uncles, aunts, or cousins in the same household)",I am the firstborn/oldest child.,Intact Marriage (Parents were married and living together),"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,High Pressure: My career path felt strictly defined by her expectations.,Low: Mostly difficult and infrequent. I avoided discussing personal matters.,High Pressure: My career path felt strictly defined by his expectations.,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderate,Very High,2,,,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting; [Parenting Style] Overprotective / Enmeshing Parenting; [Schema] Unrelenting Standards Schema,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting, Overprotective / Enmeshing Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-18 13:08:22,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Male,Nuclear Family: (Lived with one or both parents and siblings only),I am the lastborn/youngest child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,High Pressure: My career path felt strictly defined by her expectations.,"Medium: Sometimes open, sometimes difficult. We could talk about some things but not others.",High Pressure: My career path felt strictly defined by his expectations.,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,High,High,4,Their understanding towards me and how they valued my skills,That they thought i AM not bothered about my future whereas I was totally invested in my future goals,[Parenting Style] Detached / Emotionally Unavailable Parenting; [Schema] Unrelenting Standards Schema,"Detached / Emotionally Unavailable Parenting, Unrelenting Standards Schema","Parenting Style, Schema"
2025-09-18 21:41:11,"I Agree, and I wish to proceed with the survey.",Adult (20 years or older),Female,Nuclear Family: (Lived with one or both parents and siblings only),I am a middle child.,Intact Marriage (Parents were married and living together),"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Low Pressure: She supported me in choosing my own academic and career path.,"High: Very open, easy, and frequent. I felt comfortable discussing almost anything.",Low Pressure: He supported me in choosing my own academic and career path.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderate,Very Low,5,,,[Parenting Style] Authoritarian Parenting; [Parenting Style] Detached / Emotionally Unavailable Parenting,"Authoritarian Parenting, Detached / Emotionally Unavailable Parenting",Parenting Style
